Order ID,Product Name,Quantity Ordered,Price Each,Order Date,Purchase Address
1,34in Ultrawide Monitor,4,379.99,2020-10-29 06:18:04,115 Los Angeles CA
2,LG Dryer,2,600.0,2020-02-21 13:38:48,375 Los Angeles CA
3,Lightning Charging Cable,4,14.99,2020-01-26 14:39:55,958 Atlanta GA
4,AAA Batteries (4-pack),3,3.99,2020-04-25 03:37:00,153 Los Angeles CA
5,Wired Headphones,1,11.99,2020-11-04 17:34:57,916 Los Angeles CA
6,20in Monitor,3,109.99,2020-08-27 09:04:02,562 San Francisco CA
7,Wired Headphones,3,11.99,2020-11-11 16:03:41,594 New York City NY
8,iPhone,1,700.0,2020-08-12 12:33:51,953 Los Angeles CA
9,Vareebadd Phone,1,400.0,2020-07-16 14:38:34,221 New York City NY
10,Wired Headphones,2,11.99,2020-02-08 19:38:40,146 New York City NY
11,Lightning Charging Cable,2,14.99,2020-07-21 20:04:23,136 Los Angeles CA
12,27in FHD Monitor,3,149.99,2020-12-18 22:00:17,467 Boston MA
13,Macbook Pro Laptop,4,1700.0,2020-07-08 23:24:53,109 Boston MA
14,iPhone,2,700.0,2020-06-27 00:28:11,632 Los Angeles CA
15,27in 4K Gaming Monitor,4,389.99,2020-08-28 11:04:34,349 New York City NY
16,Flatscreen TV,3,300.0,2020-04-05 13:27:28,147 Los Angeles CA
17,Flatscreen TV,4,300.0,2020-02-12 17:31:48,706 Los Angeles CA
18,34in Ultrawide Monitor,2,379.99,2020-03-03 07:16:27,994 Boston MA
19,Google Phone,3,600.0,2020-05-04 12:16:42,201 New York City NY
20,USB-C Charging Cable,4,11.99,2020-05-10 14:59:40,544 Boston MA
21,27in 4K Gaming Monitor,2,389.99,2020-10-29 23:50:44,856 Boston MA
22,iPhone,2,700.0,2020-03-18 08:36:56,696 Atlanta GA
23,iPhone,3,700.0,2020-11-28 05:45:41,138 San Francisco CA
24,LG Washing Machine,4,600.0,2020-10-05 11:03:00,852 Atlanta GA
25,Flatscreen TV,1,300.0,2020-01-17 14:54:59,937 Boston MA
26,USB-C Charging Cable,2,11.99,2020-04-14 18:38:15,687 Boston MA
27,Lightning Charging Cable,3,14.99,2020-06-14 01:08:04,691 Boston MA
28,Vareebadd Phone,3,400.0,2020-03-29 22:25:33,391 New York City NY
29,ThinkPad Laptop,3,999.99,2020-08-17 05:14:10,208 Boston MA
30,Flatscreen TV,1,300.0,2020-02-29 01:01:11,231 San Francisco CA
31,Vareebadd Phone,1,400.0,2020-10-14 20:04:13,951 Atlanta GA
32,Macbook Pro Laptop,2,1700.0,2020-09-08 23:17:58,427 Atlanta GA
33,Wired Headphones,3,11.99,2020-09-04 14:26:59,525 San Francisco CA
34,AAA Batteries (4-pack),4,3.99,2020-12-12 18:41:47,334 Atlanta GA
35,Wired Headphones,1,11.99,2020-07-21 19:51:19,919 San Francisco CA
36,Lightning Charging Cable,1,14.99,2020-10-07 10:24:32,395 Los Angeles CA
37,LG Washing Machine,1,600.0,2020-06-22 00:41:43,500 Los Angeles CA
38,LG Dryer,1,600.0,2020-05-10 22:16:48,661 Boston MA
39,LG Dryer,4,600.0,2020-03-28 11:00:56,709 Boston MA
40,AAA Batteries (4-pack),3,3.99,2020-06-18 12:54:49,113 San Francisco CA
41,27in FHD Monitor,2,149.99,2020-08-22 22:05:34,815 Boston MA
42,Wired Headphones,4,11.99,2020-04-16 22:20:33,978 New York City NY
43,Flatscreen TV,1,300.0,2020-04-09 11:01:34,411 Boston MA
44,USB-C Charging Cable,2,11.99,2020-01-08 01:32:52,978 Los Angeles CA
45,Wired Headphones,1,11.99,2020-08-06 11:42:54,924 Boston MA
46,ThinkPad Laptop,4,999.99,2020-01-12 21:03:00,989 Boston MA
47,Wired Headphones,1,11.99,2020-08-28 10:34:03,419 San Francisco CA
48,Wired Headphones,2,11.99,2020-05-08 07:27:57,403 Boston MA
49,LG Washing Machine,2,600.0,2020-09-03 04:10:20,550 New York City NY
50,iPhone,3,700.0,2020-04-11 12:51:16,156 Los Angeles CA
51,AAA Batteries (4-pack),3,3.99,2020-01-02 18:25:10,850 San Francisco CA
52,USB-C Charging Cable,4,11.99,2020-09-29 09:55:54,152 Boston MA
53,Vareebadd Phone,3,400.0,2020-11-25 02:52:43,892 Los Angeles CA
54,Vareebadd Phone,3,400.0,2020-05-17 21:50:16,976 Los Angeles CA
55,LG Dryer,2,600.0,2020-12-02 00:56:20,124 New York City NY
56,AAA Batteries (4-pack),2,3.99,2020-08-06 15:01:03,789 New York City NY
57,LG Dryer,4,600.0,2020-12-16 03:00:00,363 New York City NY
58,Google Phone,1,600.0,2020-08-10 01:35:51,285 Atlanta GA
59,Macbook Pro Laptop,4,1700.0,2020-10-02 03:25:19,462 New York City NY
60,iPhone,2,700.0,2020-12-07 09:00:08,612 New York City NY
61,Wired Headphones,1,11.99,2020-04-20 22:53:35,228 Los Angeles CA
62,LG Washing Machine,3,600.0,2020-11-26 11:52:13,204 Los Angeles CA
63,20in Monitor,1,109.99,2020-05-31 02:58:46,150 Boston MA
64,27in FHD Monitor,3,149.99,2020-06-18 12:09:40,114 Los Angeles CA
65,iPhone,1,700.0,2020-09-12 09:53:42,792 San Francisco CA
66,34in Ultrawide Monitor,4,379.99,2020-11-17 16:40:08,998 New York City NY
67,27in FHD Monitor,3,149.99,2020-07-22 13:27:22,510 San Francisco CA
68,AAA Batteries (4-pack),2,3.99,2020-09-22 16:11:39,354 Atlanta GA
69,AAA Batteries (4-pack),3,3.99,2020-11-18 12:42:05,968 San Francisco CA
70,Macbook Pro Laptop,3,1700.0,2020-12-13 12:13:46,485 San Francisco CA
71,Lightning Charging Cable,1,14.99,2020-12-17 21:27:26,600 Los Angeles CA
72,Lightning Charging Cable,4,14.99,2020-10-29 10:54:28,117 Atlanta GA
73,27in 4K Gaming Monitor,4,389.99,2020-03-23 09:50:59,594 Boston MA
74,Flatscreen TV,2,300.0,2020-12-27 14:21:54,596 Los Angeles CA
75,Macbook Pro Laptop,1,1700.0,2020-12-30 15:28:01,973 Boston MA
76,USB-C Charging Cable,2,11.99,2020-09-11 20:44:34,332 Atlanta GA
77,LG Dryer,2,600.0,2020-11-01 00:51:26,236 New York City NY
